Country,Agent,LogoUrl,Office,Coverage,Operation,TransportMode,Services,Contact,Email,Phone,Segments,Networks
Afghanistan,Cirrus International (Pvt) Ltd.,https://parnity.co/dist/images/company-placeholder.png,Afghanistan,,,,,Umar Farooq,umar.farooq@cirrus-intl.com,,,C5C
Albania,Aster Logistics Balkans Sh.P.K.,https://assets.jctrans.com/COMPANY_LOGO%2F488ff494-fb4b-4d5d-9858-047cfa3a9569,"Albania, Durres",,,,,Claudio Castagna,info.albania@asterlog.com,,,JC Trans
Albania,MILSPED ALBANIA,https://assets.jctrans.com/COMPANY_LOGO%2F4aa3d8f7-49b0-4116-9a8b-b375b88eb64c.png,"Albania, Durres",,,,,Erda Borici,erda.borici@milsped.com,,,JC Trans
Albania,Phoenix Global Freight Group S.A,https://aeroceanetwork.net/wp-content/uploads/2019/09/PHOENIX-LOGO-002-2-300x210.jpg,"Albania, Durres",,,,,,,,,AON
Albania,SBA Albania Shpk,https://app.oceanx.network/uploads/logo/6a7feee55b6ef1122c2b0352931c201ce0916c95.png,"Albania, Tirana",,,,,Makis Mavroeidis,AL@sba-group.net,,,OceanX
Albania,World Transport Overseas Albania,https://assets.jctrans.com/COMPANY_LOGO%2F76c500ed-8506-4794-a980-a1c80229e6bb,"Albania, Tirana",,,,,Ledio Saliko,ledio.saliko@wto.com,693102017,,JC Trans
Albania,World Transport Overseas Albania SHPK,https://pangea-network.com/wp-content/uploads/CompanyLogo/world_transport_overseas_albania.png,"Albania, Tirane",,,,,Mr Ledio Saliko,ledio.saliko@wto.com,355692050410,,Connecta
Algeria,EURL ALTISA,https://assets.jctrans.com/COMPANY_LOGO%2F8e94b7d3-20e0-4f80-ae18-2bfcc6475a9d,"Algeria, Algiers",,,,,Boukhari Mohamed,boukhari.m@altisa-dz.com,,,JC Trans
Algeria,EURL DIRECT SHIPPING COMPANY,https://assets.jctrans.com/COMPANY_LOGO/b242476e-61a1-42e1-9885-889618390248.jpg,"Algeria, Setif",,,,,Seif Eddine Taghane,seifeddine.taghane@directshipping-dz.com,799612140,,JC Trans
Algeria,EURL EXPRESS SHIPPING COMPANY,https://assets.jctrans.com/COMPANY_LOGO/f28d0d26-39a7-4537-a859-75ccadb4501d.png,"Algeria, Algiers",,,,,DIB BILLEL,dg@ex-shipping.com,,,JC Trans
Algeria,EURL INTERNATIONAL CONSULTING SERVICE,https://parnity.co/dist/images/company-placeholder.png,"Algeria, Oran",,,,,undefined,aitzegagh.c@icsdz.com,,,JC Trans
Algeria,GS GLOBAL,https://pplnet.pplonefamily.net/images/companies/gs.jpg,Algeria,,,,,Asmaa Zerzi,asmaa@gshorusgroup.com,,,PPL
Algeria,International shipping & Marine survey sarl,https://parnity.co/dist/images/company-placeholder.png,"Algeria, Skikda",,,,,Fadi Ghossoub,shipping@isa-logistics.com,,,Alfa
